Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wochentag,FerienSH,Monat,value_prev_year
2013-07-01,Brot,148.828353112183,FALSE,6,17.8375,15,Monday,TRUE,7,148.828353112183
2013-07-01,Brötchen,535.856284785361,FALSE,6,17.8375,15,Monday,TRUE,7,535.856284785361
2013-07-01,Croissant,201.198425690037,FALSE,6,17.8375,15,Monday,TRUE,7,201.198425690037
2013-07-01,Konditorei,65.890168799361,FALSE,6,17.8375,15,Monday,TRUE,7,65.890168799361
2013-07-01,Kuchen,317.47587493303803,FALSE,6,17.8375,15,Monday,TRUE,7,317.47587493303803
2013-07-02,Brot,159.79375714468,FALSE,3,17.3125,10,Tuesday,TRUE,7,159.79375714468
2013-07-02,Brötchen,546.780787392297,FALSE,3,17.3125,10,Tuesday,TRUE,7,546.780787392297
2013-07-02,Croissant,265.261253994438,FALSE,3,17.3125,10,Tuesday,TRUE,7,265.261253994438
2013-07-02,Konditorei,74.5439171827412,FALSE,3,17.3125,10,Tuesday,TRUE,7,74.5439171827412
2013-07-02,Kuchen,383.628681612577,FALSE,3,17.3125,10,Tuesday,TRUE,7,383.628681612577
2013-07-03,Brot,111.885593514353,FALSE,7,21.075,6,Wednesday,TRUE,7,111.885593514353
2013-07-03,Brötchen,427.343258749983,FALSE,7,21.075,6,Wednesday,TRUE,7,427.343258749983
2013-07-03,Croissant,210.260241465493,FALSE,7,21.075,6,Wednesday,TRUE,7,210.260241465493
2013-07-03,Konditorei,69.2627280649987,FALSE,7,21.075,6,Wednesday,TRUE,7,69.2627280649987
2013-07-03,Kuchen,305.523072325318,FALSE,7,21.075,6,Wednesday,TRUE,7,305.523072325318
2013-07-04,Brot,168.864940979931,FALSE,7,18.85,7,Thursday,TRUE,7,168.864940979931
2013-07-04,Brötchen,454.859641347987,FALSE,7,18.85,7,Thursday,TRUE,7,454.859641347987
2013-07-04,Croissant,190.686641378586,FALSE,7,18.85,7,Thursday,TRUE,7,190.686641378586
2013-07-04,Konditorei,61.490175369225,FALSE,7,18.85,7,Thursday,TRUE,7,61.490175369225
2013-07-04,Kuchen,308.408167942149,FALSE,7,18.85,7,Thursday,TRUE,7,308.408167942149
2013-07-05,Brot,171.280754117955,FALSE,5,19.975,12,Friday,TRUE,7,171.280754117955
2013-07-05,Brötchen,492.818804066088,FALSE,5,19.975,12,Friday,TRUE,7,492.818804066088
2013-07-05,Croissant,181.644870215041,FALSE,5,19.975,12,Friday,TRUE,7,181.644870215041
2013-07-05,Konditorei,86.7598614451924,FALSE,5,19.975,12,Friday,TRUE,7,86.7598614451924
2013-07-05,Kuchen,355.518770367742,FALSE,5,19.975,12,Friday,TRUE,7,355.518770367742
2013-07-06,Brot,174.552359998476,FALSE,0,18.9625,8,Saturday,TRUE,7,174.552359998476
2013-07-06,Brötchen,631.906068038484,FALSE,0,18.9625,8,Saturday,TRUE,7,631.906068038484
2013-07-06,Croissant,291.557959835153,FALSE,0,18.9625,8,Saturday,TRUE,7,291.557959835153
2013-07-06,Konditorei,80.6465768881107,FALSE,0,18.9625,8,Saturday,TRUE,7,80.6465768881107
2013-07-06,Kuchen,361.866932797941,FALSE,0,18.9625,8,Saturday,TRUE,7,361.866932797941
2013-07-07,Brot,92.6377553788373,FALSE,0,21.375,9,Sunday,TRUE,7,92.6377553788373
2013-07-07,Brötchen,695.25572963054,FALSE,0,21.375,9,Sunday,TRUE,7,695.25572963054
2013-07-07,Croissant,279.665938833443,FALSE,0,21.375,9,Sunday,TRUE,7,279.665938833443
2013-07-07,Konditorei,94.6039024817053,FALSE,0,21.375,9,Sunday,TRUE,7,94.6039024817053
2013-07-07,Kuchen,370.20960108863,FALSE,0,21.375,9,Sunday,TRUE,7,370.20960108863
2013-07-08,Brot,135.500244042392,FALSE,0,22.725,10,Monday,TRUE,7,135.500244042392
2013-07-08,Brötchen,538.529249911711,FALSE,0,22.725,10,Monday,TRUE,7,538.529249911711
2013-07-08,Croissant,195.158794309303,FALSE,0,22.725,10,Monday,TRUE,7,195.158794309303
2013-07-08,Konditorei,49.5000238633042,FALSE,0,22.725,10,Monday,TRUE,7,49.5000238633042
2013-07-08,Kuchen,285.233382496522,FALSE,0,22.725,10,Monday,TRUE,7,285.233382496522
2013-07-09,Brot,136.048382778344,FALSE,0,23.275,8,Tuesday,TRUE,7,136.048382778344
2013-07-09,Brötchen,585.957264698849,FALSE,0,23.275,8,Tuesday,TRUE,7,585.957264698849
2013-07-09,Croissant,245.808338509722,FALSE,0,23.275,8,Tuesday,TRUE,7,245.808338509722
2013-07-09,Konditorei,75.2089975834558,FALSE,0,23.275,8,Tuesday,TRUE,7,75.2089975834558
2013-07-09,Kuchen,342.089345776475,FALSE,0,23.275,8,Tuesday,TRUE,7,342.089345776475
2013-07-10,Brot,135.132314289581,FALSE,2,19.6875,13,Wednesday,TRUE,7,135.132314289581
2013-07-10,Brötchen,567.365764527953,FALSE,2,19.6875,13,Wednesday,TRUE,7,567.365764527953
2013-07-10,Croissant,265.109142544045,FALSE,2,19.6875,13,Wednesday,TRUE,7,265.109142544045
2013-07-10,Konditorei,73.8056511129258,FALSE,2,19.6875,13,Wednesday,TRUE,7,73.8056511129258
2013-07-10,Kuchen,343.353066508123,FALSE,2,19.6875,13,Wednesday,TRUE,7,343.353066508123
2013-07-11,Brot,138.549392636714,FALSE,0,21.375,12,Thursday,TRUE,7,138.549392636714
