Datum;Wochentag;Name;Art;Details
01.01.2018;Montag;Neujahrstag;Nationaler Feiertag;
06.01.2018;Samstag;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
06.01.2018;Samstag;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
22.01.2018;Montag;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2018;Samstag;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
12.02.2018;Montag;Rosenmontag;Fest- oder Gedenktag;
13.02.2018;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
14.02.2018;Mittwoch;Aschermittwoch;Stiller Tag;
14.02.2018;Mittwoch;Valentinstag;Fest- oder Gedenktag;
08.03.2018;Donnerstag;Internationaler Frauentag;Fest- oder Gedenktag;
17.03.2018;Samstag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2018;Sonntag;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2018;Dienstag;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
25.03.2018;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
25.03.2018;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
29.03.2018;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
29.03.2018;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
30.03.2018;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
31.03.2018;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
31.03.2018;Samstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
01.04.2018;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
01.04.2018;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
01.04.2018;Sonntag;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
02.04.2018;Montag;Ostermontag;Nationaler Feiertag, Christlich;
05.04.2018;Donnerstag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
06.04.2018;Freitag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
23.04.2018;Montag;Tag des Deutschen Bieres;Fest- oder Gedenktag;
26.04.2018;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
30.04.2018;Montag;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2018;Dienstag;Tag der Arbeit;Nationaler Feiertag;
05.05.2018;Samstag;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2018;Dienstag;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2018;Mittwoch;Europatag (EU);Fest- oder Gedenktag;
10.05.2018;Donnerstag;Vatertag;Fest- oder Gedenktag;
10.05.2018;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
13.05.2018;Sonntag;Muttertag;Fest- oder Gedenktag;
20.05.2018;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
20.05.2018;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
20.05.2018;Sonntag;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
21.05.2018;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
21.05.2018;Montag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
23.05.2018;Mittwoch;Tag des Grundgesetzes;Fest- oder Gedenktag;
31.05.2018;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL, SN*, TH*
01.06.2018;Freitag;Internationaler Kindertag;Fest- oder Gedenktag;
03.06.2018;Sonntag;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
15.06.2018;Freitag;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
17.06.2018;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
17.06.2018;Sonntag;Gedenktag für die Opfer des SED-Unrechts;Fest- oder Gedenktag;Berlin, Thüringen
21.06.2018;Donnerstag;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
23.06.2018;Samstag;Tag der Architektur;Fest- oder Gedenktag;
24.06.2018;Sonntag;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
29.06.2018;Freitag;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
08.08.2018;Mittwoch;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
15.08.2018;Mittwoch;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
15.08.2018;Mittwoch;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
22.08.2018;Mittwoch;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
01.09.2018;Samstag;Antikriegstag;Fest- oder Gedenktag;
08.09.2018;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
09.09.2018;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
10.09.2018;Montag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
11.09.2018;Dienstag;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
19.09.2018;Mittwoch;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
20.09.2018;Donnerstag;Weltkindertag;Fest- oder Gedenktag;
21.09.2018;Freitag;Aschura;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
23.09.2018;Sonntag;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
24.09.2018;Montag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
25.09.2018;Dienstag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
29.09.2018;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
29.09.2018;Samstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
30.09.2018;Sonntag;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
01.10.2018;Montag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
02.10.2018;Dienstag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
03.10.2018;Mittwoch;Tag der Deutschen Einheit;Nationaler Feiertag;
07.10.2018;Sonntag;Erntedankfest;Fest- oder Gedenktag;
28.10.2018;Sonntag;Ende der Sommerzeit;Zeitumstellung;
30.10.2018;Dienstag;Weltspartag;Fest- oder Gedenktag;
31.10.2018;Mittwoch;Reformationstag;Regionaler Feiertag;BB, HB, HH, MVP, NDS, SH, SN, ST, TH
31.10.2018;Mittwoch;Reformationstag;Fest- oder Gedenktag, Christlich;Bremen, BW
31.10.2018;Mittwoch;Halloween;Fest- oder Gedenktag;
01.11.2018;Donnerstag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
01.11.2018;Donnerstag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
02.11.2018;Freitag;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2018;Freitag;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2018;Freitag;45239;Fest- oder Gedenktag;Berlin
09.11.2018;Freitag;Fall der Mauer;Fest- oder Gedenktag;
11.11.2018;Sonntag;St. Martin;Fest- oder Gedenktag, Christlich;
18.11.2018;Sonntag;Volkstrauertag;Stiller Tag;
21.11.2018;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
21.11.2018;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
21.11.2018;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
25.11.2018;Sonntag;Totensonntag;Stiller Tag;
02.12.2018;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
06.12.2018;Donnerstag;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2018;Samstag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
09.12.2018;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
16.12.2018;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
19.12.2018;Mittwoch;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
21.12.2018;Freitag;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
23.12.2018;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
24.12.2018;Montag;Heiligabend;Stiller Tag;
25.12.2018;Dienstag;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2018;Mittwoch;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2018;Montag;Silvester;Bankfeiertag;
