Datum;Wochentag;Name;Art;Details
01.01.2015;Donnerstag;Neujahrstag;Nationaler Feiertag;
06.01.2015;Dienstag;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
06.01.2015;Dienstag;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
22.01.2015;Donnerstag;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2015;Dienstag;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
14.02.2015;Samstag;Valentinstag;Fest- oder Gedenktag;
16.02.2015;Montag;Rosenmontag;Fest- oder Gedenktag;
17.02.2015;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
18.02.2015;Mittwoch;Aschermittwoch;Stiller Tag;
08.03.2015;Sonntag;Internationaler Frauentag;Fest- oder Gedenktag;
17.03.2015;Dienstag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2015;Mittwoch;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2015;Freitag;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
29.03.2015;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
29.03.2015;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
02.04.2015;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
02.04.2015;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
03.04.2015;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
04.04.2015;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
04.04.2015;Samstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
05.04.2015;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
05.04.2015;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
05.04.2015;Sonntag;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
06.04.2015;Montag;Ostermontag;Nationaler Feiertag, Christlich;
09.04.2015;Donnerstag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
10.04.2015;Freitag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
23.04.2015;Donnerstag;Tag des Deutschen Bieres;Fest- oder Gedenktag;
23.04.2015;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
30.04.2015;Donnerstag;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2015;Freitag;Tag der Arbeit;Nationaler Feiertag;
05.05.2015;Dienstag;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2015;Freitag;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2015;Samstag;Europatag (EU);Fest- oder Gedenktag;
10.05.2015;Sonntag;Muttertag;Fest- oder Gedenktag;
14.05.2015;Donnerstag;Vatertag;Fest- oder Gedenktag;
14.05.2015;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
23.05.2015;Samstag;Tag des Grundgesetzes;Fest- oder Gedenktag;
24.05.2015;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
24.05.2015;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
24.05.2015;Sonntag;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
25.05.2015;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
25.05.2015;Montag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
01.06.2015;Montag;Internationaler Kindertag;Fest- oder Gedenktag;
03.06.2015;Mittwoch;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
04.06.2015;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL, SN*, TH*
21.06.2015;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
21.06.2015;Sonntag;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
24.06.2015;Mittwoch;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
27.06.2015;Samstag;Tag der Architektur;Fest- oder Gedenktag;
29.06.2015;Montag;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
18.07.2015;Samstag;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
08.08.2015;Samstag;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
15.08.2015;Samstag;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
15.08.2015;Samstag;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
01.09.2015;Dienstag;Antikriegstag;Fest- oder Gedenktag;
12.09.2015;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
13.09.2015;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
14.09.2015;Montag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
15.09.2015;Dienstag;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
20.09.2015;Sonntag;Weltkindertag;Fest- oder Gedenktag;
23.09.2015;Mittwoch;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
23.09.2015;Mittwoch;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
24.09.2015;Donnerstag;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
28.09.2015;Montag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
