Datum;Wochentag;Name;Art;Details
01.01.2014;Mittwoch;Neujahrstag;Nationaler Feiertag;
06.01.2014;Montag;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
06.01.2014;Montag;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
22.01.2014;Mittwoch;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2014;Montag;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
14.02.2014;Freitag;Valentinstag;Fest- oder Gedenktag;
03.03.2014;Montag;Rosenmontag;Fest- oder Gedenktag;
04.03.2014;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
05.03.2014;Mittwoch;Aschermittwoch;Stiller Tag;
08.03.2014;Samstag;Internationaler Frauentag;Fest- oder Gedenktag;
17.03.2014;Montag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2014;Dienstag;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2014;Donnerstag;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
30.03.2014;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
13.04.2014;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
15.04.2014;Dienstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
16.04.2014;Mittwoch;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
17.04.2014;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
17.04.2014;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
18.04.2014;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
19.04.2014;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
20.04.2014;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
20.04.2014;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
20.04.2014;Sonntag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
21.04.2014;Montag;Ostermontag;Nationaler Feiertag, Christlich;
21.04.2014;Montag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
23.04.2014;Mittwoch;Tag des Deutschen Bieres;Fest- oder Gedenktag;
24.04.2014;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
30.04.2014;Mittwoch;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2014;Donnerstag;Tag der Arbeit;Nationaler Feiertag;
05.05.2014;Montag;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2014;Donnerstag;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2014;Freitag;Europatag (EU);Fest- oder Gedenktag;
11.05.2014;Sonntag;Muttertag;Fest- oder Gedenktag;
23.05.2014;Freitag;Tag des Grundgesetzes;Fest- oder Gedenktag;
29.05.2014;Donnerstag;Vatertag;Fest- oder Gedenktag;
29.05.2014;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
01.06.2014;Sonntag;Internationaler Kindertag;Fest- oder Gedenktag;
03.06.2014;Dienstag;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
04.06.2014;Mittwoch;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
05.06.2014;Donnerstag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
08.06.2014;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
08.06.2014;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
09.06.2014;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
15.06.2014;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
19.06.2014;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL
21.06.2014;Samstag;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
24.06.2014;Dienstag;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
28.06.2014;Samstag;Tag der Architektur;Fest- oder Gedenktag;
29.06.2014;Sonntag;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
29.07.2014;Dienstag;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
08.08.2014;Freitag;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
15.08.2014;Freitag;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
15.08.2014;Freitag;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
01.09.2014;Montag;Antikriegstag;Fest- oder Gedenktag;
13.09.2014;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
14.09.2014;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
20.09.2014;Samstag;Weltkindertag;Fest- oder Gedenktag;
23.09.2014;Dienstag;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
