Datum;Wochentag;Name;Art;Details
01.01.2022;Samstag;Neujahrstag;Nationaler Feiertag;
06.01.2022;Donnerstag;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
06.01.2022;Donnerstag;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
22.01.2022;Samstag;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2022;Donnerstag;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
14.02.2022;Montag;Valentinstag;Fest- oder Gedenktag;
16.02.2022;Mittwoch;Alevitischer Fastentag;Fest- oder Gedenktag;Bremen, Hamburg
28.02.2022;Montag;Rosenmontag;Fest- oder Gedenktag;
01.03.2022;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
02.03.2022;Mittwoch;Aschermittwoch;Stiller Tag;
08.03.2022;Dienstag;Internationaler Frauentag;Fest- oder Gedenktag;Alle außer B
08.03.2022;Dienstag;Internationaler Frauentag;Regionaler Feiertag;Berlin
17.03.2022;Donnerstag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2022;Freitag;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2022;Sonntag;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
21.03.2022;Montag;Alevitisches Neujahr;Fest- oder Gedenktag;Bremen, Hamburg
27.03.2022;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
10.04.2022;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
14.04.2022;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
14.04.2022;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
15.04.2022;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
16.04.2022;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
16.04.2022;Samstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
17.04.2022;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
17.04.2022;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
17.04.2022;Sonntag;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
18.04.2022;Montag;Ostermontag;Nationaler Feiertag, Christlich;
21.04.2022;Donnerstag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
22.04.2022;Freitag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
23.04.2022;Samstag;Tag des Deutschen Bieres;Fest- oder Gedenktag;
28.04.2022;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
30.04.2022;Samstag;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2022;Sonntag;Tag der Arbeit;Nationaler Feiertag;
03.05.2022;Dienstag;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
05.05.2022;Donnerstag;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2022;Sonntag;Muttertag;Fest- oder Gedenktag;
08.05.2022;Sonntag;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2022;Montag;Europatag (EU);Fest- oder Gedenktag;
23.05.2022;Montag;Tag des Grundgesetzes;Fest- oder Gedenktag;
