Datum;Wochentag;Name;Art;Details
01.01.2021;Freitag;Neujahrstag;Nationaler Feiertag;
06.01.2021;Mittwoch;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
06.01.2021;Mittwoch;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
22.01.2021;Freitag;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2021;Mittwoch;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
14.02.2021;Sonntag;Valentinstag;Fest- oder Gedenktag;
15.02.2021;Montag;Rosenmontag;Fest- oder Gedenktag;
16.02.2021;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
16.02.2021;Dienstag;Alevitischer Fastentag;Fest- oder Gedenktag;Bremen, Hamburg
17.02.2021;Mittwoch;Aschermittwoch;Stiller Tag;
08.03.2021;Montag;Internationaler Frauentag;Fest- oder Gedenktag;Alle außer B
08.03.2021;Montag;Internationaler Frauentag;Regionaler Feiertag;Berlin
17.03.2021;Mittwoch;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2021;Donnerstag;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2021;Samstag;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
21.03.2021;Sonntag;Alevitisches Neujahr;Fest- oder Gedenktag;Bremen, Hamburg
28.03.2021;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
28.03.2021;Sonntag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
28.03.2021;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
29.03.2021;Montag;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
01.04.2021;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
01.04.2021;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
02.04.2021;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
02.04.2021;Freitag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
03.04.2021;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
03.04.2021;Samstag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
04.04.2021;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
04.04.2021;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
05.04.2021;Montag;Ostermontag;Nationaler Feiertag, Christlich;
22.04.2021;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
23.04.2021;Freitag;Tag des Deutschen Bieres;Fest- oder Gedenktag;
30.04.2021;Freitag;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2021;Samstag;Tag der Arbeit;Nationaler Feiertag;
05.05.2021;Mittwoch;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2021;Samstag;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2021;Sonntag;Muttertag;Fest- oder Gedenktag;
09.05.2021;Sonntag;Europatag (EU);Fest- oder Gedenktag;
13.05.2021;Donnerstag;Vatertag;Fest- oder Gedenktag;
13.05.2021;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
13.05.2021;Donnerstag;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
17.05.2021;Montag;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
18.05.2021;Dienstag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
23.05.2021;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
23.05.2021;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
23.05.2021;Sonntag;Tag des Grundgesetzes;Fest- oder Gedenktag;
24.05.2021;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
01.06.2021;Dienstag;Internationaler Kindertag;Fest- oder Gedenktag;
03.06.2021;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL, SN*, TH*
03.06.2021;Donnerstag;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
17.06.2021;Donnerstag;Gedenktag für die Opfer des SED-Unrechts;Fest- oder Gedenktag;Berlin, Thüringen
20.06.2021;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
21.06.2021;Montag;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
24.06.2021;Donnerstag;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
26.06.2021;Samstag;Tag der Architektur;Fest- oder Gedenktag;
29.06.2021;Dienstag;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
20.07.2021;Dienstag;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
08.08.2021;Sonntag;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
15.08.2021;Sonntag;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
15.08.2021;Sonntag;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
18.08.2021;Mittwoch;Aschura;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
01.09.2021;Mittwoch;Antikriegstag;Fest- oder Gedenktag;
07.09.2021;Dienstag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
08.09.2021;Mittwoch;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
11.09.2021;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
12.09.2021;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
16.09.2021;Donnerstag;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
20.09.2021;Montag;Weltkindertag;Fest- oder Gedenktag;
20.09.2021;Montag;Weltkindertag;Regionaler Feiertag;Thüringen
21.09.2021;Dienstag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
22.09.2021;Mittwoch;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
22.09.2021;Mittwoch;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
26.09.2021;Sonntag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
27.09.2021;Montag;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
28.09.2021;Dienstag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
29.09.2021;Mittwoch;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
02.10.2021;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
03.10.2021;Sonntag;Tag der Deutschen Einheit;Nationaler Feiertag;
03.10.2021;Sonntag;Erntedankfest;Fest- oder Gedenktag;
10.10.2021;Sonntag;Großelterntag;Fest- oder Gedenktag;Bayern
29.10.2021;Freitag;Weltspartag;Fest- oder Gedenktag;
31.10.2021;Sonntag;Reformationstag;Fest- oder Gedenktag, Christlich;Bremen, BW
31.10.2021;Sonntag;Reformationstag;Regionaler Feiertag;BB, HB, HH, MVP, NDS, SH, SN, ST, TH
31.10.2021;Sonntag;Halloween;Fest- oder Gedenktag;
31.10.2021;Sonntag;Ende der Sommerzeit;Zeitumstellung;
01.11.2021;Montag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
01.11.2021;Montag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
02.11.2021;Dienstag;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2021;Dienstag;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2021;Dienstag;45239;Fest- oder Gedenktag;Berlin
09.11.2021;Dienstag;Fall der Mauer;Fest- oder Gedenktag;
11.11.2021;Donnerstag;St. Martin;Fest- oder Gedenktag, Christlich;
14.11.2021;Sonntag;Volkstrauertag;Stiller Tag;
17.11.2021;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
17.11.2021;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
17.11.2021;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
21.11.2021;Sonntag;Totensonntag;Stiller Tag;
28.11.2021;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
05.12.2021;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
06.12.2021;Montag;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2021;Mittwoch;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
12.12.2021;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
19.12.2021;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
19.12.2021;Sonntag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
21.12.2021;Dienstag;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
24.12.2021;Freitag;Heiligabend;Stiller Tag;
25.12.2021;Samstag;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2021;Sonntag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2021;Freitag;Silvester;Bankfeiertag;
