Datum;Wochentag;Name;Art;Details
01.01.2013;Dienstag;Neujahrstag;Nationaler Feiertag;
06.01.2013;Sonntag;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
06.01.2013;Sonntag;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
22.01.2013;Dienstag;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2013;Sonntag;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
11.02.2013;Montag;Rosenmontag;Fest- oder Gedenktag;
12.02.2013;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
13.02.2013;Mittwoch;Aschermittwoch;Stiller Tag;
14.02.2013;Donnerstag;Valentinstag;Fest- oder Gedenktag;
08.03.2013;Freitag;Internationaler Frauentag;Fest- oder Gedenktag;
17.03.2013;Sonntag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2013;Montag;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2013;Mittwoch;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
24.03.2013;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
26.03.2013;Dienstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
27.03.2013;Mittwoch;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
28.03.2013;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
28.03.2013;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
29.03.2013;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
30.03.2013;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
31.03.2013;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
31.03.2013;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
31.03.2013;Sonntag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
31.03.2013;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
01.04.2013;Montag;Ostermontag;Nationaler Feiertag, Christlich;
01.04.2013;Montag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
23.04.2013;Dienstag;Tag des Deutschen Bieres;Fest- oder Gedenktag;
25.04.2013;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
30.04.2013;Dienstag;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2013;Mittwoch;Tag der Arbeit;Nationaler Feiertag;
05.05.2013;Sonntag;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2013;Mittwoch;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2013;Donnerstag;Vatertag;Fest- oder Gedenktag;
09.05.2013;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
09.05.2013;Donnerstag;Europatag (EU);Fest- oder Gedenktag;
12.05.2013;Sonntag;Muttertag;Fest- oder Gedenktag;
15.05.2013;Mittwoch;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
16.05.2013;Donnerstag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
19.05.2013;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
19.05.2013;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
20.05.2013;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
23.05.2013;Donnerstag;Tag des Grundgesetzes;Fest- oder Gedenktag;
30.05.2013;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL
01.06.2013;Samstag;Internationaler Kindertag;Fest- oder Gedenktag;
03.06.2013;Montag;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
16.06.2013;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
21.06.2013;Freitag;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
