Datum;Wochentag;Name;Art;Details
01.01.2016;Freitag;Neujahrstag;Nationaler Feiertag;
06.01.2016;Mittwoch;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
06.01.2016;Mittwoch;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
22.01.2016;Freitag;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2016;Mittwoch;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
08.02.2016;Montag;Rosenmontag;Fest- oder Gedenktag;
09.02.2016;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
10.02.2016;Mittwoch;Aschermittwoch;Stiller Tag;
14.02.2016;Sonntag;Valentinstag;Fest- oder Gedenktag;
08.03.2016;Dienstag;Internationaler Frauentag;Fest- oder Gedenktag;
17.03.2016;Donnerstag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2016;Freitag;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2016;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
20.03.2016;Sonntag;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
24.03.2016;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
24.03.2016;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
25.03.2016;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
26.03.2016;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
27.03.2016;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
27.03.2016;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
27.03.2016;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
28.03.2016;Montag;Ostermontag;Nationaler Feiertag, Christlich;
23.04.2016;Samstag;Tag des Deutschen Bieres;Fest- oder Gedenktag;
23.04.2016;Samstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
24.04.2016;Sonntag;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
28.04.2016;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
28.04.2016;Donnerstag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
29.04.2016;Freitag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
30.04.2016;Samstag;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2016;Sonntag;Tag der Arbeit;Nationaler Feiertag;
05.05.2016;Donnerstag;Vatertag;Fest- oder Gedenktag;
05.05.2016;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
05.05.2016;Donnerstag;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2016;Sonntag;Muttertag;Fest- oder Gedenktag;
08.05.2016;Sonntag;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2016;Montag;Europatag (EU);Fest- oder Gedenktag;
15.05.2016;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
15.05.2016;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
16.05.2016;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
23.05.2016;Montag;Tag des Grundgesetzes;Fest- oder Gedenktag;
26.05.2016;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL, SN*, TH*
01.06.2016;Mittwoch;Internationaler Kindertag;Fest- oder Gedenktag;
03.06.2016;Freitag;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
12.06.2016;Sonntag;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
13.06.2016;Montag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
17.06.2016;Freitag;Gedenktag für die Opfer des SED-Unrechts;Fest- oder Gedenktag;Berlin, Thüringen
19.06.2016;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
21.06.2016;Dienstag;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
24.06.2016;Freitag;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
25.06.2016;Samstag;Tag der Architektur;Fest- oder Gedenktag;
29.06.2016;Mittwoch;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
07.07.2016;Donnerstag;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
08.08.2016;Montag;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
15.08.2016;Montag;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
15.08.2016;Montag;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
01.09.2016;Donnerstag;Antikriegstag;Fest- oder Gedenktag;
10.09.2016;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
11.09.2016;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
13.09.2016;Dienstag;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
20.09.2016;Dienstag;Weltkindertag;Fest- oder Gedenktag;
22.09.2016;Donnerstag;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
01.10.2016;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
02.10.2016;Sonntag;Erntedankfest;Fest- oder Gedenktag;
03.10.2016;Montag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
03.10.2016;Montag;Tag der Deutschen Einheit;Nationaler Feiertag;
04.10.2016;Dienstag;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
12.10.2016;Mittwoch;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
12.10.2016;Mittwoch;Aschura;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
17.10.2016;Montag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
18.10.2016;Dienstag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
22.10.2016;Samstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
23.10.2016;Sonntag;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
24.10.2016;Montag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
25.10.2016;Dienstag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
28.10.2016;Freitag;Weltspartag;Fest- oder Gedenktag;
30.10.2016;Sonntag;Ende der Sommerzeit;Zeitumstellung;
31.10.2016;Montag;Reformationstag;Regionaler Feiertag;BB, MVP, SN, ST, TH
31.10.2016;Montag;Halloween;Fest- oder Gedenktag;
01.11.2016;Dienstag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
01.11.2016;Dienstag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
02.11.2016;Mittwoch;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2016;Mittwoch;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2016;Mittwoch;45239;Fest- oder Gedenktag;Berlin
09.11.2016;Mittwoch;Fall der Mauer;Fest- oder Gedenktag;
