Datum;Wochentag;Name;Art;Details
01.01.2017;Sonntag;Neujahrstag;Nationaler Feiertag;
06.01.2017;Freitag;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
06.01.2017;Freitag;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
22.01.2017;Sonntag;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2017;Freitag;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
14.02.2017;Dienstag;Valentinstag;Fest- oder Gedenktag;
27.02.2017;Montag;Rosenmontag;Fest- oder Gedenktag;
28.02.2017;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
01.03.2017;Mittwoch;Aschermittwoch;Stiller Tag;
08.03.2017;Mittwoch;Internationaler Frauentag;Fest- oder Gedenktag;
17.03.2017;Freitag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2017;Samstag;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2017;Montag;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
26.03.2017;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
09.04.2017;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
11.04.2017;Dienstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
12.04.2017;Mittwoch;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
13.04.2017;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
13.04.2017;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
14.04.2017;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
15.04.2017;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
16.04.2017;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
16.04.2017;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
16.04.2017;Sonntag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
17.04.2017;Montag;Ostermontag;Nationaler Feiertag, Christlich;
17.04.2017;Montag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
23.04.2017;Sonntag;Tag des Deutschen Bieres;Fest- oder Gedenktag;
