Datum;Wochentag;Name;Art;Details
01.01.2019;Dienstag;Neujahrstag;Nationaler Feiertag;
06.01.2019;Sonntag;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
06.01.2019;Sonntag;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
22.01.2019;Dienstag;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2019;Sonntag;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
14.02.2019;Donnerstag;Valentinstag;Fest- oder Gedenktag;
04.03.2019;Montag;Rosenmontag;Fest- oder Gedenktag;
05.03.2019;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
06.03.2019;Mittwoch;Aschermittwoch;Stiller Tag;
08.03.2019;Freitag;Internationaler Frauentag;Fest- oder Gedenktag;Alle außer B
08.03.2019;Freitag;Internationaler Frauentag;Regionaler Feiertag;Berlin
17.03.2019;Sonntag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2019;Montag;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2019;Mittwoch;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
28.03.2019;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
31.03.2019;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
14.04.2019;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
18.04.2019;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
18.04.2019;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
19.04.2019;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
20.04.2019;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
20.04.2019;Samstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
21.04.2019;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
21.04.2019;Sonntag;Ostern;Fest- oder Gedenktag, Christlich;Alle außer BB
21.04.2019;Sonntag;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
